Control ID,Status,Confidence
GV.RR-01,Non-Compliant,0.32
ID.AM-01,Non-Compliant,0.45
ID.AM-02,Non-Compliant,0.33
ID.RA-01,Non-Compliant,0.35
ID.RA-02,Non-Compliant,0.27
PR.AA-01,Non-Compliant,0.35
PR.AA-05,Non-Compliant,0.39
PR.DS-01,Non-Compliant,0.36
PR.DS-02,Non-Compliant,0.28
PR.DS-11,Non-Compliant,0.28
PR.PS-01,Non-Compliant,0.21
PR.PS-02,Non-Compliant,0.24
DE.CM-01,Non-Compliant,0.34
DE.CM-03,Non-Compliant,0.22
DE.CM-09,Non-Compliant,0.26
RS.MA-01,Non-Compliant,0.33
RS.CO-02,Non-Compliant,0.27
RS.AN-01,Non-Compliant,0.25
RC.RP-01,Non-Compliant,0.29
RC.CO-03,Non-Compliant,0.26
